,domain_height,ditch_width,dewatering_depth,stage,elevation,anisotropy,k11,k33,recharge_rate,c0,c1,aquifer_head
0,3.0,2.25,1.0,2.0,1.5,0.10380949005368519,1.8479093683314733,0.19183052919191776,0.0005,2.4343377327065108,889.8781894893098,2.1
1,3.0,1.7000000000000002,1.0,2.0,1.5,0.110227165837057,2.2732639564117108,0.25057544311479796,0.0005,1.6686319125763722,689.4242463121637,2.1
2,3.0,1.25,1.0,2.0,1.5,0.27616945351676214,1.596395826957089,0.44087576312717885,0.0005,1.342618238750902,899.1305791605766,2.1
3,3.0,2.35,1.0,2.0,1.5,0.18229340380345335,0.5301982349536596,0.09665164094028571,0.0005,1.598829049566857,289.23341405777376,2.1
4,3.0,2.7,1.0,2.0,1.5,0.2939485925950672,1.2002397311663122,0.35280877975301933,0.0005,1.2111282889969428,686.1113804406227,2.1
5,3.0,2.15,1.0,2.0,1.5,0.2700081270261012,0.5442791080246463,0.14695978253717176,0.0005,1.1037480074244965,455.9168487508897,2.1
6,3.0,2.8000000000000003,1.0,2.0,1.5,0.24261249358075873,2.3459806838660104,0.5691642236050264,0.0005,1.5297817623246186,382.49602439324747,2.1
7,3.0,1.05,1.0,2.0,1.5,0.14374502417352258,1.493053010396642,0.21461894107181598,0.0005,1.7169559031493455,344.1256834252792,2.1
8,3.0,2.5500000000000003,1.0,2.0,1.5,0.2443144415707167,1.1093160997883016,0.2710219434451843,0.0005,2.087911071251873,751.0813926737969,2.1
9,3.0,1.25,1.0,2.0,1.5,0.22620853755360254,2.465035241915674,0.5576120170918355,0.0005,2.0447380830803548,466.11868867092113,2.1
10,3.0,2.95,1.0,2.0,1.5,0.10389382302396827,2.042334923193264,0.2121859830659108,0.0005,2.0650306856675975,513.6944221279429,2.1
11,3.0,2.9000000000000004,1.0,2.0,1.5,0.2466734283955273,2.433104836832656,0.6001823117472513,0.0005,1.9209237125898988,659.344679398116,2.1
12,3.0,1.5,1.0,2.0,1.5,0.2804429748936903,2.0990649333964555,0.5886680144167279,0.0005,1.5617801267567561,72.62601854215978,2.1
13,3.0,1.5,1.0,2.0,1.5,0.16217591813852178,1.6509892257681704,0.26775069352576025,0.0005,1.4351361229889577,757.5799023670693,2.1
14,3.0,2.7,1.0,2.0,1.5,0.1042415721428131,2.022762219666496,0.21085591384912178,0.0005,1.692580240191942,721.7643448392513,2.1
15,3.0,1.8,1.0,2.0,1.5,0.1816391551642072,0.824118961459525,0.14969227191431195,0.0005,1.0846940655949795,524.5368549242479,2.1
16,3.0,2.95,1.0,2.0,1.5,0.14341254588833993,2.4993215126821764,0.3584340611272478,0.0005,2.1092179804653037,98.66219140233923,2.1
17,3.0,2.1,1.0,2.0,1.5,0.2207226638333158,2.1933946663416117,0.4841319135927074,0.0005,2.372131848242317,870.8557358832862,2.1
18,3.0,1.5,1.0,2.0,1.5,0.15863486769791685,1.7822166840741624,0.2827217078871248,0.0005,1.4955658324593262,57.3984043840413,2.1
19,3.0,1.7000000000000002,1.0,2.0,1.5,0.28903928003978296,1.5357593526305109,0.443894777598686,0.0005,1.9704150704641505,946.8812649914105,2.1
20,3.0,2.3000000000000003,1.0,2.0,1.5,0.12217354607196806,1.8800289830670207,0.22968980757937393,0.0005,2.053586080796662,592.8718878573369,2.1
21,3.0,1.6500000000000001,1.0,2.0,1.5,0.19864549879250765,1.476081826756533,0.2932170107346074,0.0005,1.2988118745504846,367.32457977846633,2.1
22,3.0,1.4500000000000002,1.0,2.0,1.5,0.18758724015774064,1.044966527721409,0.19602238699247632,0.0005,1.0168262710369744,86.05871567986101,2.1
23,3.0,2.7,1.0,2.0,1.5,0.2310508319566751,1.8938431839902976,0.4375740432564368,0.0005,1.276567898301999,969.2503668840333,2.1
24,3.0,2.0500000000000003,1.0,2.0,1.5,0.27691719418192084,2.3996814224097047,0.6645130464241762,0.0005,2.4878077931353015,554.0457878027287,2.1
25,3.0,1.1500000000000001,1.0,2.0,1.5,0.24117293032658818,2.1341222104031146,0.5146925071579747,0.0005,2.055653025581153,257.5785415322882,2.1
26,3.0,1.85,1.0,2.0,1.5,0.1983324315687731,1.7275376576435677,0.34262674426707146,0.0005,1.7868925123446273,777.9569691821823,2.1
27,3.0,1.25,1.0,2.0,1.5,0.10799908725105739,2.1946943793795533,0.2370249897680176,0.0005,1.07939195412713,758.2472637950077,2.1
28,3.0,2.25,1.0,2.0,1.5,0.2547435810019886,1.579973188842986,0.4024880280129934,0.0005,2.43779970178833,316.16068048962586,2.1
29,3.0,2.35,1.0,2.0,1.5,0.282500622212032,1.3667895327621835,0.3861188934382093,0.0005,1.378292499953573,883.0472367170001,2.1
30,3.0,2.1,1.0,2.0,1.5,0.19773985602929264,0.8172877464738999,0.16161036132225398,0.0005,1.8899761633614882,308.43071145329486,2.1
31,3.0,1.9500000000000002,1.0,2.0,1.5,0.25851547619809,0.5524301338816608,0.14281173912659217,0.0005,1.3352930218489871,519.6013812997047,2.1
32,3.0,1.35,1.0,2.0,1.5,0.14062454667006827,1.0175798714543745,0.14309670812385775,0.0005,1.095056999411623,729.8489526447431,2.1
33,3.0,2.15,1.0,2.0,1.5,0.13533150527618762,0.9670129341999929,0.13086731600682802,0.0005,1.0037748939963664,51.65012912252849,2.1
34,3.0,2.0500000000000003,1.0,2.0,1.5,0.23010831014073033,1.687276323276213,0.388256303489554,0.0005,2.152065914462977,250.18899800573487,2.1
35,3.0,1.85,1.0,2.0,1.5,0.2925623067631341,0.7366949293082217,0.21552916789911733,0.0005,1.959143546716975,665.7449730066955,2.1
